a;x1_start;x2_start;x1_kon;x2_kon;y;L_wyw;Flaga;r
4.49340;1.93373;1.18058;3.03843;3.30994;-0.21723;3261;1;4.49308
4.49340;1.77729;2.60554;3.00236;3.34296;-0.21723;3561;1;4.49328
4.49340;2.67520;3.18657;3.02420;3.32296;-0.21723;3455;1;4.49308
4.49340;1.37444;3.57534;3.04438;3.30380;-0.21723;2945;1;4.49259
4.49340;1.08320;2.57831;3.04136;3.30755;-0.21723;3302;1;4.49330
4.49340;2.31394;3.80854;3.06658;3.28421;-0.21723;3594;1;4.49332
4.49340;1.76083;1.47530;3.07563;3.27573;-0.21723;3803;1;4.49332
4.49340;2.09719;1.52065;3.03341;3.31477;-0.21723;3598;1;4.49325
4.49340;1.38085;2.35775;3.03378;3.31420;-0.21723;3295;1;4.49308
4.49340;3.13321;2.30911;3.05376;3.29485;-0.21723;3127;1;4.49238
4.49340;3.20774;3.11765;3.03781;3.31073;-0.21723;3292;1;4.49324
4.49340;1.71400;1.73385;3.10669;3.24416;-0.21723;2828;1;4.49178
4.49340;2.95863;1.45006;3.04096;3.30792;-0.21723;3413;1;4.49330
4.49340;1.97930;1.06911;3.01300;3.33328;-0.21723;3548;1;4.49321
4.49340;1.57687;1.35677;3.06492;3.28576;-0.21723;3723;1;4.49332
4.49340;2.03433;1.10938;3.07415;3.27612;-0.21723;3039;1;4.49259
4.49340;2.09052;1.97556;3.03766;3.31087;-0.21723;3360;1;4.49324
4.49340;1.57286;4.11816;3.07774;3.27377;-0.21723;3597;1;4.49333
4.49340;4.05100;1.04371;3.03660;3.31179;-0.21723;3332;1;4.49320
4.49340;2.69167;1.03975;3.03279;3.31533;-0.21723;3483;1;4.49324
4.49340;2.71440;2.80913;3.06053;3.28982;-0.21723;3553;1;4.49330
4.49340;3.33287;1.22357;3.07550;3.27374;-0.21723;2532;1;4.49178
4.49340;4.14096;1.20347;3.03681;3.31164;-0.21723;3351;1;4.49324
4.49340;2.09374;1.34162;3.15874;3.19121;-0.21723;2359;1;4.49015
4.49340;1.95920;2.68054;3.04167;3.30685;-0.21723;3234;1;4.49300
4.49340;2.68378;1.43850;3.03790;3.31075;-0.21723;3637;1;4.49331
4.49340;2.02408;1.18300;3.07358;3.27766;-0.21723;3824;1;4.49332
4.49340;1.19462;3.47507;3.03783;3.31049;-0.21723;3304;1;4.49308
4.49340;2.68646;1.67613;3.04281;3.30613;-0.21723;3543;1;4.49324
4.49340;3.32645;2.55124;2.99827;3.34663;-0.21723;3562;1;4.49328
4.49340;1.60081;2.71588;3.08327;3.26847;-0.21723;3596;1;4.49327
4.49340;3.61523;1.20520;3.04892;3.30050;-0.21723;3442;1;4.49324
4.49340;1.75181;3.61067;3.00931;3.33667;-0.21723;3344;1;4.49325
4.49340;3.49404;1.07916;3.12620;3.22717;-0.21723;3400;1;4.49308
4.49340;2.26280;1.01835;3.03676;3.31175;-0.21723;3676;1;4.49328
4.49340;1.31121;2.95811;3.01636;3.33027;-0.21723;3582;1;4.49323
5.00000;1.12159;2.22723;3.17669;3.17653;-0.21723;871;1;4.49241
5.00000;3.27999;3.75309;3.17679;3.17714;-0.21723;952;1;4.49291
5.00000;2.66545;2.58491;3.17671;3.17722;-0.21723;922;1;4.49290
5.00000;1.97663;4.42256;3.17666;3.17727;-0.21723;957;1;4.49290
5.00000;2.07820;3.54228;3.17650;3.17672;-0.21723;868;1;4.49241
5.00000;2.31509;1.88501;3.17721;3.17671;-0.21723;912;1;4.49290
5.00000;1.64071;4.69142;3.17648;3.17674;-0.21723;889;1;4.49241
5.00000;2.34098;3.64909;3.17675;3.17647;-0.21723;874;1;4.49241
5.00000;3.55313;3.06412;3.17702;3.17691;-0.21723;939;1;4.49291
5.00000;3.22473;2.54138;3.17664;3.17729;-0.21723;932;1;4.49291
5.00000;2.55954;2.07125;3.17684;3.17709;-0.21723;931;1;4.49291
5.00000;1.55078;3.61449;3.17715;3.17677;-0.21723;947;1;4.49290
5.00000;2.30271;2.00354;3.17732;3.17660;-0.21723;928;1;4.49290
5.00000;3.15547;1.77791;3.17690;3.17702;-0.21723;920;1;4.49290
5.00000;2.56915;4.10396;3.17709;3.17737;-0.21723;1078;1;4.49328
5.00000;4.40229;1.10600;3.17722;3.17671;-0.21723;939;1;4.49291
5.00000;2.07840;1.44405;3.17706;3.17686;-0.21723;923;1;4.49290
5.00000;1.07244;2.02752;3.17695;3.17698;-0.21723;946;1;4.49291
5.00000;2.12422;1.64817;3.17680;3.17713;-0.21723;941;1;4.49291
5.00000;1.32676;3.66758;3.17699;3.17694;-0.21723;932;1;4.49290
5.00000;3.29588;1.07125;3.17734;3.17658;-0.21723;950;1;4.49290
5.00000;3.51303;1.93496;3.17670;3.17652;-0.21723;853;1;4.49241
5.00000;2.67721;2.81598;3.17641;3.17680;-0.21723;865;1;4.49240
5.00000;1.12695;3.92177;3.17677;3.17715;-0.21723;940;1;4.49290
5.00000;4.19022;1.68394;3.17689;3.17703;-0.21723;938;1;4.49290
5.00000;1.87691;3.32909;3.17675;3.17647;-0.21723;854;1;4.49241
5.00000;3.12939;2.53264;3.17653;3.17670;-0.21723;863;1;4.49241
5.00000;1.36774;1.88417;3.17674;3.17718;-0.21723;934;1;4.49290
5.00000;1.29378;4.30569;3.17646;3.17676;-0.21723;881;1;4.49241
5.00000;2.58265;1.28935;3.17680;3.17713;-0.21723;947;1;4.49291
5.00000;3.94302;1.49471;3.17652;3.17671;-0.21723;864;1;4.49241
5.00000;1.92025;2.06962;3.17688;3.17633;-0.21723;861;1;4.49240
5.00000;2.16159;1.39025;3.17697;3.17695;-0.21723;918;1;4.49290
5.00000;1.11114;1.21977;3.17683;3.17708;-0.21723;944;1;4.49290
5.00000;1.07791;4.23425;3.17647;3.17676;-0.21723;856;1;4.49241
5.00000;1.61264;1.42556;3.17733;3.17659;-0.21723;927;1;4.49290
5.00000;2.40577;3.53904;3.17695;3.17698;-0.21723;918;1;4.49290
5.00000;1.87516;1.07401;3.17749;3.17679;-0.21723;1001;1;4.49316
5.00000;2.78844;3.28224;3.17719;3.17673;-0.21723;924;1;4.49290
5.00000;1.72851;1.33395;3.17686;3.17706;-0.21723;921;1;4.49290
5.00000;2.96929;3.79480;3.17644;3.17679;-0.21723;863;1;4.49241
5.00000;1.88396;1.43822;3.17716;3.17677;-0.21723;941;1;4.49290
5.00000;3.82043;1.76671;3.17713;3.17733;-0.21723;1083;1;4.49328
5.00000;1.66903;4.32502;3.17701;3.17692;-0.21723;930;1;4.49291
5.00000;2.51714;2.51200;3.17634;3.17688;-0.21723;845;1;4.49240
5.00000;2.10562;2.23762;3.17694;3.17699;-0.21723;922;1;4.49291
5.00000;4.32203;2.06824;3.17743;3.17649;-0.21723;935;1;4.49290
5.00000;2.74047;1.84587;3.17652;3.17670;-0.21723;859;1;4.49241
5.00000;4.42394;2.01000;3.17676;3.17647;-0.21723;877;1;4.49241
5.00000;1.05750;1.50018;3.17687;3.17706;-0.21723;941;1;4.49291
5.00000;1.40998;3.14061;3.17742;3.17650;-0.21723;926;1;4.49290
5.00000;2.99530;3.75858;3.17688;3.17706;-0.21723;946;1;4.49291
5.00000;3.07154;3.85655;3.17709;3.17684;-0.21723;946;1;4.49291
5.00000;2.80613;1.50937;3.17728;3.17664;-0.21723;924;1;4.49290
5.00000;3.50439;3.25782;3.17692;3.17702;-0.21723;927;1;4.49291
5.00000;4.55505;1.11739;3.17671;3.17651;-0.21723;866;1;4.49241
5.00000;1.98839;3.29081;3.17734;3.17658;-0.21723;919;1;4.49290
5.00000;1.23682;3.55159;3.17718;3.17710;-0.21723;992;1;4.49315
5.00000;2.08875;1.98084;3.17652;3.17740;-0.21723;925;1;4.49290
5.00000;2.13170;1.05544;3.17714;3.17714;-0.21723;1016;1;4.49315
5.00000;3.42164;1.78670;3.17674;3.17649;-0.21723;873;1;4.49241
5.00000;3.47214;2.76753;3.17694;3.17700;-0.21723;925;1;4.49291
5.00000;1.33503;3.39375;3.17670;3.17653;-0.21723;876;1;4.49241
5.00000;1.14432;1.09282;3.17671;3.17652;-0.21723;855;1;4.49241
5.00000;1.89807;1.25312;3.17735;3.17711;-0.21723;1087;1;4.49328
5.00000;1.32519;3.12029;3.17705;3.17689;-0.21723;943;1;4.49291
5.00000;1.35555;3.68971;3.17706;3.17686;-0.21723;922;1;4.49290
5.00000;4.15839;1.65096;3.17704;3.17687;-0.21723;935;1;4.49290
5.00000;2.27208;2.22683;3.17687;3.17706;-0.21723;925;1;4.49291
5.00000;1.60545;2.37989;3.17673;3.17719;-0.21723;926;1;4.49290
5.00000;1.74089;2.01843;3.17688;3.17705;-0.21723;935;1;4.49291
5.00000;4.65035;1.67389;3.17684;3.17638;-0.21723;865;1;4.49240
5.00000;2.31707;4.16598;3.17673;3.17720;-0.21723;945;1;4.49291
5.00000;1.82680;2.61170;3.17711;3.17744;-0.21723;1144;1;4.49335
5.00000;3.61805;3.01482;3.17705;3.17689;-0.21723;931;1;4.49291
5.00000;2.88643;3.12804;3.17705;3.17688;-0.21723;918;1;4.49291
5.00000;1.32162;3.68043;3.17678;3.17645;-0.21723;868;1;4.49241
5.00000;2.24098;2.43143;3.17668;3.17655;-0.21723;864;1;4.49241
5.00000;2.62668;2.93093;3.17740;3.17652;-0.21723;922;1;4.49290
5.00000;4.10751;1.59051;3.17700;3.17693;-0.21723;930;1;4.49291
5.00000;2.28558;2.22772;3.17685;3.17707;-0.21723;915;1;4.49290
5.00000;3.28715;2.80020;3.17649;3.17743;-0.21723;926;1;4.49290
5.00000;1.50813;2.95146;3.17651;3.17741;-0.21723;935;1;4.49290
5.00000;1.24399;4.24215;3.17676;3.17647;-0.21723;872;1;4.49241
5.00000;1.35668;2.13499;3.17679;3.17643;-0.21723;856;1;4.49241
5.00000;2.69939;1.25673;3.17719;3.17673;-0.21723;929;1;4.49290
5.00000;4.53041;1.62204;3.17675;3.17648;-0.21723;868;1;4.49241
5.00000;2.58232;1.54170;3.17679;3.17644;-0.21723;862;1;4.49241
5.00000;1.66048;4.56797;3.17668;3.17654;-0.21723;874;1;4.49241
5.00000;2.12290;4.41267;3.17701;3.17692;-0.21723;950;1;4.49291
5.00000;2.58463;2.51684;3.17709;3.17683;-0.21723;924;1;4.49290
5.00000;2.80154;1.60990;3.17685;3.17708;-0.21723;936;1;4.49291
5.00000;3.21527;1.08286;3.17686;3.17707;-0.21723;929;1;4.49290
5.00000;2.02180;3.02384;3.17701;3.17692;-0.21723;919;1;4.49291
5.00000;2.94845;3.79052;3.17688;3.17705;-0.21723;934;1;4.49291
5.00000;4.24454;1.19250;3.17743;3.17649;-0.21723;932;1;4.49290
5.00000;3.34113;2.19923;3.17674;3.17717;-0.21723;943;1;4.49290
5.00000;2.13257;2.63796;3.17649;3.17673;-0.21723;862;1;4.49241
5.00000;3.03152;2.33053;3.17688;3.17704;-0.21723;921;1;4.49290
5.00000;2.13588;2.00030;3.17650;3.17672;-0.21723;863;1;4.49241
