Dlugosc kroku,Lp.,x1(0),x2(0),Metoda najszybszego spadku,,,,,,Metoda gradientow sprzezonych,,,,,,Metoda Newtona,,,,,,
,,,,x1*,x2*,y*,f_calls,g_calls,MinGlob,x1*,x2*,y*,f_calls,g_calls,MinGlob,x1*,x2*,y*,f_calls,g_calls,H_calls,MinGlob
,100,0.294704,-1.97254,0.00432433,-0.0104371,0.000101198,64,63,TAK,0.000237406,-0.00193479,3.39679e-06,22,21,TAK,2.42085e-06,-1.80699e-05,2.94496e-10,227,226,226,TAK
0.25,1,0.620979,-1.45783,0.000415722,-0.00100364,9.35708e-07,16,15,TAK,-0.000104835,0.000146164,2.80216e-08,10,9,TAK,1.07054,-0.535274,0.877362,46,45,45,NIE
,2,1.08524,-1.82212,1.7233,-0.769726,0.310368,10000,9999,NIE,nan,nan,nan,10000,10000,NIE,1.07054,-0.535273,0.877362,47,46,46,NIE
,3,0.634147,1.56985,-0.000576914,0.00139279,1.80201e-06,14,13,TAK,-0.000114919,0.000534892,2.51053e-07,9,9,TAK,1.07054,-0.535269,0.877362,48,47,47,NIE
,4,-0.832364,1.50573,-0.000566684,0.00136809,1.73867e-06,17,16,TAK,-3.01587e-05,0.000398853,1.48874e-07,17,16,TAK,-1.07054,0.535274,0.877362,46,45,45,NIE
,5,-0.124848,-1.85906,0.000364823,-0.000880759,7.20607e-07,16,15,TAK,-1.05584e-06,-0.000229456,5.28947e-08,10,9,TAK,-1.62815e-07,-2.49797e-06,6.69958e-12,48,47,47,TAK
,6,0.350764,-0.978965,0.00036006,-0.000869262,7.01916e-07,15,14,TAK,0.000182222,-0.000543454,2.62723e-07,9,8,TAK,6.39959e-07,-2.23771e-06,4.3944e-12,46,45,45,TAK
,7,0.73253,-0.563206,0.000387395,-0.000935255,8.12538e-07,15,14,TAK,-0.000208589,0.000274996,1.05281e-07,12,11,TAK,1.07054,-0.535272,0.877362,41,40,40,NIE
,8,-1.80234,-0.344228,-1.36584,0.869278,0.727273,10000,9999,NIE,nan,nan,nan,10000,10000,NIE,-1.74755,0.873773,0.298638,46,45,45,NIE
,9,1.4446,1.63585,0.000487027,-0.00117579,1.28422e-06,18,17,TAK,nan,nan,nan,10000,10000,NIE,1.07054,-0.535269,0.877362,49,48,48,NIE
,10,-1.48029,-0.206676,-1.89591,0.844216,0.47507,10000,9999,NIE,-1.74823,0.882095,0.298705,31,30,NIE,1.74755,-0.873779,0.298638,46,45,45,NIE
,11,-0.692971,-1.42464,0.000464786,-0.00112209,1.16961e-06,14,13,TAK,6.42595e-05,-0.000372184,1.22863e-07,9,9,TAK,-1.07054,0.535269,0.877362,48,47,47,NIE
,12,0.413561,1.87709,-0.000537141,0.00129677,1.56211e-06,15,14,TAK,-7.14735e-05,0.000342603,1.03107e-07,10,9,TAK,3.57e-07,2.61887e-06,8.0483e-12,48,47,47,TAK
,13,0.663589,1.74025,-0.000390908,0.000943734,8.27339e-07,15,14,TAK,-0.000121276,0.000545901,2.61219e-07,9,9,TAK,1.07054,-0.535268,0.877362,48,47,47,NIE
